name,details,image,category,price
Casual Striped Shirt,Comfortable cotton striped shirt for boys.,https://www.repertoirefashion.co.uk/images/ami-mens-plain-black-shirt-regular-fit-poplin-formal-shirt-p29418-95223_image.jpg,shirt,12.5
Denim Button-up Shirt,Stylish denim shirt with button-up front.,https://product-images.therealreal.com/GIV180310_2_enlarged.jpg,shirt,13.5
Checkered Shirt,Classic checkered shirt ideal for school wear.,https://www.repertoirefashion.co.uk/images/ami-mens-plain-black-shirt-regular-fit-poplin-formal-shirt-p29418-95223_image.jpg,shirt,20
Formal Black Shirt,Crisp white shirt for formal occasions.,https://cdna.lystit.com/photos/farfetch/479bb529/amiri-black-Plaid-check-Flannel-Shirt-Jacket.jpeg,shirt,20
Cargo Pants,Durable cargo pants with multiple pockets.,https://assets.ullapopken.de/images/products/823501316_model_g_04.jpg,pants,13
Khaki Trousers,Comfortable khaki trousers for boys.,https://modone.com/hpeciai/19bfacbd75909c3f044c7442d2d4bd7e/eng_pl_Mens-pants-joggers-P886-grey-14808_1.jpg,pants,14.5
Jogger Pants,Chicken and Walnut Salad,https://www.cordings.co.uk/us/media/catalog/product/cache/90cced69a688d3fb8b4ac2887336c7a4/t/r/tr134-khaki_2.jpg,pants,21.5
Digital Sports Watch,Soft jogger pants great for sports and lounging.,https://m.media-amazon.com/images/I/611zqXP41sS._AC_UL1500_.jpg,watch,14.5
Waterproof Outdoor Watch,"Pan roasted pork belly with gratin potato, braised Savoy cabbage, apples, thyme and calvados jus",https://down-ph.img.susercontent.com/file/ph-11134207-7r98z-lrn7sdfu10j934,watch,13.5
Minimalist Metal Watch,Elegant analog watch with leather strap.,https://www.bhphotovideo.com/images/images1000x1000/huawei_55020538_watch_smartwatch_stainless_steel_1194623.jpg,watch,20.5
Padded Winter Jacket,Durable digital watch with stopwatch feature.,https://i5.walmartimages.com/asr/2eee434f-89cc-4c7e-9324-849dd8cfa45c.92c508323e1e751c4e5b7ef5080640bd.jpeg,jacket,13.5
Hooded Parka Jacket,Perfect for hiking and outdoor activities.,https://static3.kmxfashion.pl/hpeciai/076d34aeb75d19ecd1508428453877dd/eng_pl_Hooded-jacket-4067_2.jpg,jacket,15
Fleece Zipper Jacket,Warm and stylish hooded parka for winter wear.,https://i5.walmartimages.com/asr/55ae2dc1-269e-457d-a60f-65e8370a276b_1.96f7a4c178b10f9fc0a334fed39bbea4.jpeg,jacket,22
Canvas School Backpack,Warm padded jacket for extreme cold.,https://i.etsystatic.com/14806027/r/il/e711fc/3223106179/il_570xN.3223106179_4rq8.jpg,bag,12.5
Travel Duffel Bag,Travel Duffel Bag,https://images-na.ssl-images-amazon.com/images/I/81oEtD3gz0L._SL1500_.jpg,bag,14